user_id,age,gender,education_level,country,test_run_id,battery_id,specific_subtest_id,raw_score,time_of_day,grand_index
33836937,22.0,m,3.0,US,251013,14,29,12.0,2,102.7199324257386
33836937,22.0,m,3.0,US,251013,14,28,6.0,2,102.7199324257386
33836937,22.0,m,3.0,US,251013,14,30,5.0,2,102.7199324257386
33836937,22.0,m,3.0,US,251013,14,27,10.0,2,102.7199324257386
33836937,22.0,m,3.0,US,251013,14,26,560.0,2,102.7199324257386
33839742,37.0,f,2.0,US,681500,14,29,10.0,20,107.59292470756353
33839742,37.0,f,2.0,US,681500,14,28,6.0,20,107.59292470756353
33839742,37.0,f,2.0,US,681500,14,30,4.0,20,107.59292470756353
33839742,37.0,f,2.0,US,681500,14,27,8.0,20,107.59292470756353
33839742,37.0,f,2.0,US,681500,14,26,298.0,20,107.59292470756353
33839774,24.0,m,2.0,US,517317,14,29,8.0,3,107.59292470756353
33839774,24.0,m,2.0,US,517317,14,28,6.0,3,107.59292470756353
33839774,24.0,m,2.0,US,517317,14,30,8.0,3,107.59292470756353
33839774,24.0,m,2.0,US,517317,14,27,10.0,3,107.59292470756353
33839774,24.0,m,2.0,US,517317,14,26,443.0,3,107.59292470756353
33840784,19.0,f,8.0,US,21977,14,29,25.0,18,144.63781538723353
33840784,19.0,f,8.0,US,21977,14,28,7.0,18,144.63781538723353
33840784,19.0,f,8.0,US,21977,14,30,16.0,18,144.63781538723353
33840784,19.0,f,8.0,US,21977,14,27,10.0,18,144.63781538723353
33840784,19.0,f,8.0,US,21977,14,26,378.0,18,144.63781538723353
33842410,23.0,f,4.0,US,402090,14,29,20.0,13,116.66151066321812
33842410,23.0,f,4.0,US,402090,14,28,5.0,13,116.66151066321812
33842410,23.0,f,4.0,US,402090,14,30,8.0,13,116.66151066321812
33842410,23.0,f,4.0,US,402090,14,27,9.0,13,116.66151066321812
33842410,23.0,f,4.0,US,402090,14,26,372.0,13,116.66151066321812
33843635,31.0,m,3.0,US,234147,14,29,14.0,22,100.87059934638197
33843635,31.0,m,3.0,US,234147,14,28,5.0,22,100.87059934638197
33843635,31.0,m,3.0,US,234147,14,30,10.0,22,100.87059934638197
33843635,31.0,m,3.0,US,234147,14,27,7.0,22,100.87059934638197
33843635,31.0,m,3.0,US,234147,14,26,411.0,22,100.87059934638197
33844374,19.0,f,3.0,US,609351,14,29,14.0,21,116.27644477383797
33844374,19.0,f,3.0,US,609351,14,28,7.0,21,116.27644477383797
33844374,19.0,f,3.0,US,609351,14,30,10.0,21,116.27644477383797
33844374,19.0,f,3.0,US,609351,14,27,8.0,21,116.27644477383797
33844374,19.0,f,3.0,US,609351,14,26,381.0,21,116.27644477383797
33844631,21.0,m,3.0,US,656317,14,29,10.0,23,110.63463805172408
33844631,21.0,m,3.0,US,656317,14,28,6.0,23,110.63463805172408
33844631,21.0,m,3.0,US,656317,14,30,14.0,23,110.63463805172408
33844631,21.0,m,3.0,US,656317,14,27,8.0,23,110.63463805172408
33844631,21.0,m,3.0,US,656317,14,26,406.0,23,110.63463805172408
33846876,31.0,f,4.0,US,713104,14,29,14.0,19,103.7993503600376
33846876,31.0,f,4.0,US,713104,14,28,4.0,19,103.7993503600376
33846876,31.0,f,4.0,US,713104,14,30,10.0,19,103.7993503600376
33846876,31.0,f,4.0,US,713104,14,27,9.0,19,103.7993503600376
33846876,31.0,f,4.0,US,713104,14,26,447.0,19,103.7993503600376
33847763,37.0,m,6.0,US,361560,14,29,16.0,12,104.9671442352075
33847763,37.0,m,6.0,US,361560,14,28,6.0,12,104.9671442352075
33847763,37.0,m,6.0,US,361560,14,30,5.0,12,104.9671442352075
33847763,37.0,m,6.0,US,361560,14,27,9.0,12,104.9671442352075
